target_id	length	eff_length	est_counts	tpm
YAL069W	315	81.5493	36.2618	7.70762
YAL068W-A	255	52.4343	1.31838	0.43583
YAL068C	363	112.503	0	0
YAL067W-A	228	41.7962	25.5486	10.5955
YAL067C	1782	1498.31	0	0
YAL066W	309	78.1828	0	0
YAL065C	387	129.003	0	0
YAL064W-B	381	125.048	0	0
YAL064C-A	381	125.048	0	0
YAL064W	285	65.6336	12	3.16917
YAL063C-A	291	68.761	17	4.28546
YAL063C	3969	3685.15	73.4514	0.34549
YAL062W	1374	1081.39	1434	22.9856
YAL061W	1254	962.352	3166	57.0253
YAL060W	1149	857.846	6347	128.248
YAL059C-A	423	156.467	90.2909	10.0026
YAL059W	639	351.955	938.709	46.2312
YAL058W	1509	1219.12	799.159	11.3626
YAL056C-A	351	104.064	65.8405	10.9669
YAL056W	2643	2366.97	2815	20.6147
YAL055W	543	262.28	812	53.6639
YAL054C	2142	1851.76	13221	123.757
YAL053W	2352	2081.78	20441	170.199
YAL051W	3144	2871.42	1681	10.1476
YAL049C	741	454.351	3905	148.977
YAL048C	1989	1708.52	1880.52	19.0787
YAL047W-A	330	90.6143	23.477	4.49094
YAL047C	1869	1589.33	1292	14.0909
YAL046C	357	108.163	565	90.5444
YAL045C	309	78.1828	52.4169	11.6212
YAL044W-A	333	92.5208	298.583	55.9393
YAL044C	513	234.414	810	59.8953
YAL043C	2358	2067.55	4767	39.965
YAL042C-A	378	122.847	186.014	26.2465
YAL042W	1248	956.059	3683.99	66.7919
YAL041W	2565	2290.55	3091	23.391
YAL040C	1743	1454.95	805	9.59045
YAL039C	810	515.418	2672	89.8603
YAL038W	1503	1202.07	48110.1	693.739
YAL037C-B	975	679.041	4400.87	112.34
YAL037C-A	93	48.3323	5	1.79318
YAL037W	804	519.743	218	7.27041
YAL036C	1110	820.851	864	18.2449
YAL035W	3009	2726.84	2926	18.5996
YAL034C-B	354	106.284	21	3.42487
YAL034W-A	870	588.712	268	7.89082
YAL034C	1242	954.649	9829	178.466
YAL033W	522	242.468	223	15.942
YAL032C	1140	846.47	1744	35.7129
YAL031W-A	309	78.1828	108.855	24.134
YAL031C	2283	2004.72	2894.14	25.024
YAL030W	354	106.284	1209	197.174
