target_id	length	eff_length	est_counts	tpm
YAL069W	315	83.8892	26.4836	5.04982
YAL068W-A	255	53.1699	3.7046	1.1145
YAL068C	363	115.231	0	0
YAL067W-A	228	43.1555	15.7821	5.8497
YAL067C	1782	1504.62	0	0
YAL066W	309	80.1785	0	0
YAL065C	387	131.69	3.47239	0.421775
YAL064W-B	381	127.465	0	0
YAL064C-A	381	127.465	0	0
YAL064W	285	66.5534	21	5.04725
YAL063C-A	291	69.5607	30	6.89863
YAL063C	3969	3680.91	126.552	0.549947
YAL062W	1374	1089.77	1294	18.9936
YAL061W	1254	966.321	2998	49.6268
YAL060W	1149	863.59	7154	132.51
YAL059C-A	423	160.293	50.788	5.0682
YAL059W	639	357.909	1013.21	45.2828
YAL058W	1509	1223.2	800.941	10.4739
YAL056C-A	351	107.068	59.0591	8.82331
YAL056W	2643	2376.54	2856	19.2229
YAL055W	543	267.957	830	49.5472
YAL054C	2142	1858.92	10321	88.8111
YAL053W	2352	2075.03	17243	132.921
YAL051W	3144	2875.99	1674	9.31052
YAL049C	741	463.035	4380	151.31
YAL048C	1989	1715.43	1700.54	15.857
YAL047W-A	330	92.5944	23.4605	4.05283
YAL047C	1869	1598.95	1195	11.9547
YAL046C	357	111.182	546	78.5534
YAL045C	309	80.1785	75.5115	15.0647
YAL044W-A	333	94.4672	403.488	68.3213
YAL044C	513	239.589	851	56.8157
YAL043C	2358	2077.26	4095	31.5332
YAL042C-A	378	125.26	156.625	20.0011
YAL042W	1248	959.722	3298.37	54.9744
YAL041W	2565	2299.78	2780	19.3359
YAL040C	1743	1459.9	771	8.44767
YAL039C	810	522.848	2256	69.0191
YAL038W	1503	1210.33	66319.4	876.481
YAL037C-B	975	685.272	7843.64	183.088
YAL037C-A	93	37.9808	10	4.21155
YAL037W	804	523.672	214	6.53672
YAL036C	1110	823.206	809	15.7198
YAL035W	3009	2739.78	2978	17.3866
YAL034C-B	354	109.123	11	1.61243
YAL034W-A	870	596.743	264	7.07657
YAL034C	1242	962.698	9145	151.95
YAL033W	522	248.024	218	14.0594
YAL032C	1140	855.211	1535	28.7105
YAL031W-A	309	80.1785	101.438	20.2371
YAL031C	2283	2006.13	2787.56	22.2265
YAL030W	354	109.123	1366	200.235
YAL029C	4416	4171.57	1512	5.79773
YAL028W	1587	1308.5	1135	13.8749
YAL027W	786	507.006	328	10.3483
YAL026C-A	438	172.967	29.015	2.68328
YAL026C	4068	3814.84	947.985	3.97495
YAL025C	921	644.32	580	14.399
YAL024C	4308	4071.9	207	0.813165
YAL023C	2280	2013.11	4889	38.847
YAL022C	1554	1285.98	574	7.13976
YAL021C	2514	2231.46	973	6.97478
YAL020C	1002	718.172	388.802	8.65975
YAL019W-A	570	290.908	84.1985	4.62971
YAL019W	3396	3144.22	771	3.92235
YAL018C	978	698.937	153	3.50154
YAL017W	4071	3813.13	4431	18.5877
YAL016C-B	186	33.2417	9	4.33077
YAL016C-A	315	83.8892	149.954	28.5929
YAL016W	1908	1637.8	4476.05	43.7159
YAL015C	1200	914.214	2014	35.2385
YAL014C	768	482.449	1678	55.6348
YAL013W	1218	929.732	3743	64.3974
YAL012W	1185	902.92	9744	172.621
YAL011W	1878	1609.05	1447	14.3848
YAL010C	1482	1212.28	835	11.0176
YAL009W	780	509.43	666	20.912
YAL008W	597	317.039	1518	76.5889
YAL007C	648	369.815	1679	72.6225
YAL005C	1929	1638.48	61311.7	598.561
YAL004W	648	370.905	0	0
YAL003W	621	336.374	3194	151.886
YAL002W	3825	3588.52	1018	4.53772
YAL001C	3483	3229.34	2426	12.0166
YAR002W	1620	1350.35	1713	20.2917
YAR002C-A	660	384.404	1244	51.7653
YAR003W	1281	1003.91	1114	17.75
YAR007C	1866	1587.58	2698	27.184
YAR008W	828	552.628	582	16.846
YAR009C	3591	3313.62	0	0
YAR010C	1323	1045.62	0	0
YAR014C	2130	1850.96	1134	9.7999
YAR015W	921	640.171	675	16.8661
YAR018C	1308	1035.43	343	5.29884
YAR019C	2925	2661.18	1920	11.5407
YAR019W-A	333	94.4672	45	7.61969
YAR020C	168	30.6802	3.64059	1.8981
YAR023C	540	265.064	289	17.4402
YAR027W	708	429.591	1251	46.5809
YAR028W	705	427.71	0	0
YAR029W	225	42.4647	0	0
YAR030C	342	100.881	0	0
YAR031W	897	612.891	442	11.5357
YAR033W	705	427.71	0	0
YAR035W	2064	1757.7	286	2.60272
YAR035C-A	81	38.5946	0	0
YAR042W	3567	3278.36	1301	6.34784
YAR047C	321	87.0505	0	0
YAR050W	4614	4329.58	321.451	1.18761
YAR053W	297	73.3199	7	1.52715
YAR060C	336	96.6719	3.5	0.579127
YAR061W	1006	728.83	21.4419	0.470589
YAR064W	300	75.1035	0	0
YAR066W	612	335.504	0	0
YAR068W	486	214.477	185	13.7974
YAR069C	294	71.4249	4	0.895811
YAR070C	300	75.1035	0	0
YAR071W	1404	1122.73	705.642	10.0534
YAR073W	1212	932.088	3.02605	0.0519308
YAR075W	474	204.02	0	0
YBL113C	2379	2110.52	506.129	3.83599
YBL113W-A	483	211.891	179.255	13.5321
YBL112C	318	85.4456	6.51953	1.22049
YBL111C	2004	1729.04	111.771	1.03402
YBL109W	336	96.6719	272.413	45.0747
YBL108C-A	129	27.7155	0	0
YBL108W	306	78.4834	25.9712	5.29323
YBL107W-A	105	33.6867	87.1653	41.3895
YBL107C	591	319.449	1046	52.3764
YBL106C	3033	2760.61	703	4.07339
YBL105C	3456	3187.16	3371	16.9185
YBL104C	3117	2849.84	1617	9.07601
YBL103C	1461	1182.78	3925	53.0811
YBL102W	648	363.956	1397	61.398
YBL101C	3354	3068.65	7043	36.7127
YBL100W-C	120	28.4383	85	47.8103
YBL100W-A	1317	1044.67	15.4102	0.235957
YBL100W-B	5313	5074.91	1074.69	3.38735
YBL100C	315	83.8892	3502.6	667.868
YBL099W	1638	1336.55	21644.4	259.039
YBL098W	1383	1104.38	2042	29.5764
YBL097W	2265	1999.66	946	7.56729
YBL096C	309	80.1785	55.5019	11.0727
YBL095W	813	531.307	1312.63	39.5187
YBL094C	333	94.4672	209.87	35.5365
YBL093C	663	382.991	4434	185.188
YBL092W	393	136.351	4472	524.624
YBL091C-A	528	253.797	1872	117.984
YBL091C	1266	986.734	3228	52.3286
YBL090W	534	259.433	1266	78.0573
YBL089W	1380	1109.71	1312	18.9116
YBL088C	8364	8175.66	1870	3.65868
YBL087C	414	152.755	1332.02	139.483
YBL086C	1401	1120.02	7013	100.157
YBL085W	2943	2669.12	3161	18.9436
YBL084C	2277	2011.1	3568.43	28.3824
YBL083C	426	162.947	104.857	10.2933
YBL082C	1377	1099.67	1362.14	19.8137
YBL081W	1107	819.492	921.112	17.9793
YBL080C	1626	1342.54	2609	31.0852
YBL079W	4509	4258.45	4886	18.353
YBL078C	354	109.123	7489	1097.77
YBL077W	432	167.924	141.923	13.519
YBL076C	3219	2941.83	5554.08	30.1995
YBL075C	1950	1669.71	22169	212.379
YBL074C	1068	792.949	1187.71	23.959
YBL073W	312	82.0153	51.2946	10.0042
YBL072C	603	319.4	6055.11	303.244
YBL071C-B	99	32.9577	94	45.6222
YBL071W-A	249	50.8211	830	261.24
YBL071C	309	80.1785	315	62.8432
YBL070C	321	87.0505	124.146	22.8123
YBL069W	1290	1009.03	2677.21	42.4407
YBL068W-A	237	46.1162	76.6426	26.5841
YBL068W	981	697.316	976	22.3886
YBL067C	2244	1984.25	1817	14.6475
YBL066C	3447	3171.47	5668.33	28.5891
YBL065W	345	102.889	91.6653	14.251
YBL064C	786	502.521	26215	834.452
YBL063W	3336	3086.74	1658	8.59193
YBL062W	381	127.465	0	0
YBL061C	2091	1828.49	5039	44.0817
YBL060W	2064	1802.62	2511	22.2817
YBL059C-A	330	92.5944	1608	277.784
YBL059W	582	310.105	1269	65.4574
YBL058W	1272	988.454	17292	279.83
YBL057C	627	350.567	2996	136.703
YBL056W	1407	1127.89	11400	161.676
YBL055C	1257	987.051	2594	42.0374
YBL054W	1578	1313.06	2794	34.0366
YBL053W	375	123.233	87.8282	11.4002
YBL052C	2496	2223.55	1365.17	9.8208
YBL051C	2007	1730.72	10478	96.8403
YBL050W	879	599.657	12248	326.714
YBL049W	417	155.258	4331	446.212
YBL048W	312	82.0153	448	87.3753
YBL047C	4146	3875.04	16098	66.451
YBL046W	1326	1063.45	3789	56.9921
YBL045C	1374	1086.49	23738	349.48
YBL044W	369	119.013	466	62.6321
YBL043W	774	501.409	3767	120.174
YBL042C	1920	1635.48	970	9.48705
YBL041W	726	447.498	8229	294.145
YBL040C	660	386.364	3851	159.435
YBL039W-B	180	31.672	693	349.997
YBL039C	1740	1468.58	3581	39.0044
YBL039C-A	84	39.5641	0	0
YBL038W	699	418.65	7863	300.43
YBL037W	3078	2816.05	3632	20.6305
YBL036C	774	494.714	7646	247.221
YBL035C	2118	1845.68	2434	21.0945
YBL034C	4542	4306.57	3465	12.87
YBL033C	1038	758.428	13708	289.111
YBL032W	1146	851.025	6147	115.538
YBL031W	1017	738.142	799	17.3146
YBL030C	957	671.44	13405	319.349
YBL029C-A	285	66.5534	1680	403.78
YBL029W	1131	851.991	1144	21.4781
YBL028C	321	87.0505	731	134.323
YBL027W	570	290.06	6046.45	333.441
YBL026W	288	68.0525	1364	320.609
YBL025W	438	172.967	1492	137.979
YBL024W	2055	1783.62	3238	29.0389
YBL023C	2607	2335.7	1296	8.87552
YBL022C	3402	3128.36	7568	38.6963
YBL021C	435	170.494	1206	113.148
YBL020W	1725	1450.96	2947	32.4886
YBL019W	1563	1288.97	1563	19.3965
YBL018C	402	143.234	395	44.1119
YBL017C	4740	4497.46	2612	9.28991
YBL016W	1062	779.39	474	9.72813
YBL015W	1581	1296.97	8501	104.845
YBL014C	2685	2407.49	4954	32.9152
YBL013W	1206	913.298	804	14.0815
YBL012C	402	143.234	462.072	51.6021
YBL011W	2280	1996.22	5946.93	47.6531
YBL010C	843	562.944	710	20.1743
YBL009W	2031	1765.06	1421	12.8778
YBL008W-A	240	47.0675	35	11.8947
YBL008W	2523	2254.61	1305	9.25859
YBL007C	3735	3453.23	10885	50.4207
YBL006C	543	267.957	1761	105.124
YBL006W-A	150	30.2785	0	0
YBL005W	2931	2683.8	2839	16.9208
YBL005W-A	1323	1048.73	109.554	1.67098
YBL005W-B	5268	5020.5	19883.3	63.3501
YBL004W	7482	7297.48	2975	6.52109
YBL003C	399	140.937	1180.32	133.962
YBL002W	396	138.648	1268	146.289
YBL001C	315	83.8892	2053	391.461
YBR001C	2343	2064.27	9605	74.4279
YBR002C	861	582.815	3291	90.3239
YBR003W	1422	1134.97	6518	91.8618
YBR004C	1302	1033.25	3136	48.5483
YBR005W	642	359.049	3447	153.566
YBR006W	1494	1219.52	6759	88.6541
YBR007C	2211	1945.94	1655	13.6043
YBR008C	1647	1377.94	1425	16.5421
YBR009C	312	82.0153	5061.51	987.168
YBR010W	411	150.296	5980.77	636.526
YBR011C	864	580.191	23527	648.637
YBR012C	420	157.888	837	84.7976
YBR012W-A	1323	1044.21	0	0
YBR012W-B	5271	5013.09	3595.38	11.4722
YBR013C	390	134.093	838	99.964
YBR014C	612	334.162	3290	157.487
YBR015C	1794	1518.46	8171	86.0754
YBR016W	387	131.69	9526	1157.08
YBR017C	2757	2495.48	4680	29.9983
YBR018C	1101	821.275	1152	22.4373
YBR019C	2100	1813.53	583	5.14221
YBR020W	1587	1310.88	288	3.51427
YBR021W	1902	1621.42	939	9.26349
YBR022W	534	259.433	736	45.3793
YBR023C	3498	3229.55	5797	28.7123
YBR024W	906	627.178	2958	75.4419
YBR025C	1185	905.555	8345	147.407
YBR026C	1143	866.307	6833	126.167
YBR027C	333	94.4672	9	1.52394
YBR028C	1578	1306.16	2351	28.7914
YBR029C	1374	1103.61	5225	75.7316
YBR030W	1659	1392.04	2570	29.5315
YBR031W	1089	797.891	8112.74	162.641
YBR032W	303	76.854	189	39.337
YBR033W	2760	2498.9	2171	13.8969
YBR034C	1047	765.322	5374	112.321
YBR035C	687	404.879	5458	215.632
YBR036C	1233	949.265	8019	135.126
YBR037C	888	607.545	4124	108.579
YBR038W	2892	2632.48	6167	37.4726
YBR039W	936	657.596	10551	256.65
YBR040W	897	617.697	226	5.85246
YBR041W	2010	1739.35	3553	32.675
YBR042C	1194	914.643	907	15.8621
YBR043C	2070	1790.25	1960	17.5125
YBR044C	1719	1443.61	3349	37.1082
YBR045C	1920	1647.48	1981	19.234
YBR046C	1005	729.525	4145	90.8846
YBR047W	528	253.797	1247	78.5932
YBR048W	471	201.5	3238.06	257.049
YBR049C	2433	2162.49	15218	112.566
YBR050C	1017	742.483	2436.78	52.4972
YBR051W	351	107.068	628.217	93.8543
YBR052C	633	349.955	5372	245.544
YBR053C	1077	795.177	10231	205.807
YBR054W	1035	753.265	15471.6	328.543
YBR055C	2700	2449.99	2762	18.0329
YBR056W	1506	1230.4	10933	142.134
YBR056W-A	201	36.1916	1583	699.646
YBR056C-B	159	30.057	0	0
YBR057C	1101	819.834	3155	61.5573
YBR058C	2346	2075.09	2796	21.5529
YBR058C-A	243	48.2116	849	281.684
YBR059C	3327	3050.03	6412	33.6276
YBR060C	1863	1600.53	1813	18.1192
YBR061C	933	657.3	644	15.6721
YBR062C	543	267.957	1422	84.8869
YBR063C	1215	942.139	1780.58	30.231
YBR064W	429	165.58	492.418	47.5699
YBR065C	1095	823.632	2446	47.5039
YBR066C	663	386.458	689	28.5182
YBR067C	633	344.813	33326	1545.99
YBR068C	1830	1556.57	6829	70.1771
YBR069C	1860	1579.75	823	8.33328
YBR070C	714	442.251	382	13.8166
YBR071W	636	354.105	2011	90.8419
YBR072W	645	361.828	213580	9442.01
YBR072C-A	162	30.5997	9	4.70469
YBR073W	2877	2613.23	634	3.88077
YBR074W	2931	2676.77	818	4.88819
YBR076W	1065	790.34	1841	37.2602
YBR076C-A	267	58.1342	1172	322.48
YBR077C	489	217.323	3446	253.639
YBR078W	1290	1013.39	11968	188.907
YBR079C	2895	2629.6	3393	20.6395
YBR080C	2277	1998.88	2978	23.8311
YBR081C	3999	3741.48	3610	15.4337
YBR082C	447	180.192	5908	524.457
YBR083W	1461	1189.55	1045	14.0521
YBR084W	2928	2654.31	1186	7.14726
YBR084C-A	570	286.006	3782.55	211.552
YBR085W	924	645.207	379	9.39606
YBR085C-A	258	54.2624	16035	4726.89
YBR086C	2841	2569.04	9339	58.1482
YBR087W	1065	786.372	901	18.3275
YBR088C	777	492.75	1012.64	32.8726
YBR089W	600	321.91	1063.36	52.8387
YBR089C-A	300	75.1035	3754.13	799.566
YBR090C	369	119.013	1721.87	231.426
YBR091C	330	92.5944	2498	431.532
YBR092C	1404	1119.82	7234.56	103.34
YBR093C	1404	1129.74	2045.44	28.9609
