target_id	length	eff_length	est_counts	tpm
YAL069W	315	81.9645	17.0367	3.47745
YAL068W-A	255	53.3943	0	0
YAL068C	363	112.144	0	0
YAL067W-A	228	43.5197	8.176	3.1431
YAL067C	1782	1498.7	0	0
YAL066W	309	78.6306	0	0
YAL065C	387	129.115	0	0
YAL064W-B	381	124.752	0	0
YAL064C-A	381	124.752	2	0.268217
YAL064W	285	66.5093	14	3.52166
YAL063C-A	291	69.093	24	5.81138
YAL063C	3969	3682.83	126.155	0.573095
YAL062W	1374	1078.1	1461	22.6722
YAL061W	1254	959.701	3130	54.5646
YAL060W	1149	859.34	6965	135.6
YAL059C-A	423	155.668	69.1168	7.42824
YAL059W	639	354.227	932.883	44.0604
YAL058W	1509	1214.93	823.068	11.3341
YAL056C-A	351	104.252	51.9322	8.334
YAL056W	2643	2368.12	3010	21.265
YAL055W	543	262.175	752	47.9875
YAL054C	2142	1853.97	7222	65.1715
YAL053W	2352	2078.48	18157	146.15
YAL051W	3144	2881.01	2007	11.6548
YAL049C	741	455.438	3242	119.093
YAL048C	1989	1711.05	1681.32	16.4396
YAL047W-A	330	90.9942	14.6794	2.69897
YAL047C	1869	1590.49	1001	10.5295
YAL046C	357	107.887	364	56.4464
YAL045C	309	78.6306	52.161	11.0983
YAL044W-A	333	92.6077	290.839	52.5422
YAL044C	513	233.94	628	44.9115
YAL043C	2358	2067.36	5258	42.5508
YAL042C-A	378	122.825	216.83	29.535
YAL042W	1248	954.437	4075.17	71.4334
YAL041W	2565	2296.3	2965	21.6022
YAL040C	1743	1454.75	938	10.7874
YAL039C	810	511.998	2843	92.899
YAL038W	1503	1206.14	106878	1482.5
YAL037C-B	975	679.995	8431.91	207.455
YAL037C-A	93	26.5926	9	5.66219
YAL037W	804	520.156	368	11.8363
YAL036C	1110	816.89	921	18.8625
YAL035W	3009	2738.23	2851	17.4192
YAL034C-B	354	105.967	9	1.42094
YAL034W-A	870	589.035	198	5.62376
YAL034C	1242	952.341	7813	137.255
YAL033W	522	242.121	180	12.4378
YAL032C	1140	849.505	1525	30.0335
YAL031W-A	309	78.6306	99.049	21.0747
YAL031C	2283	2010.55	2759.95	22.9662
YAL030W	354	105.967	1142	180.302
YAL029C	4416	4172.29	1740	6.97714
YAL028W	1587	1299.31	1739	22.3919
YAL027W	786	505.46	306	10.1283
YAL026C-A	438	168.238	23	2.28721
YAL026C	4068	3827.04	866	3.7858
YAL025C	921	638.497	259	6.78646
YAL024C	4308	4071.44	124	0.509538
YAL023C	2280	2007.5	5141	42.8444
YAL022C	1554	1273.09	557	7.31981
YAL021C	2514	2233.07	966	7.2373
YAL020C	1002	710.418	321.481	7.57083
YAL019W-A	570	282.862	84.5192	4.999
YAL019W	3396	3133.07	633	3.38015
YAL018C	978	697.649	116	2.78178
YAL017W	4071	3801.62	4445	19.5616
YAL016C-B	186	32.1786	0	0
YAL016C-A	315	81.9645	194.618	39.7246
YAL016W	1908	1628.23	5080.38	52.2014
YAL015C	1200	907.388	2066	38.0925
YAL014C	768	478.741	1600	55.9141
YAL013W	1218	921.048	4343	78.8878
YAL012W	1185	893.917	7662	143.399
YAL011W	1878	1608.23	1937	20.1505
YAL010C	1482	1205.04	893	12.3981
YAL009W	780	502.975	638	21.2215
YAL008W	597	312.606	1463	78.2977
YAL007C	648	362.962	1414	65.1765
YAL005C	1929	1632.57	44974	460.884
YAL004W	648	364.945	0	0
YAL003W	621	330.976	3278	165.697
YAL002W	3825	3591.03	1166	5.43228
YAL001C	3483	3228.23	2377	12.3188
YAR002W	1620	1347.38	1513	18.7868
YAR002C-A	660	377.673	1108	49.0825
YAR003W	1281	998.256	1160	19.441
YAR007C	1866	1586	2334	24.6206
YAR008W	828	545.483	502	15.3966
YAR009C	3591	3307.7	0	0
YAR010C	1323	1039.7	0	0
YAR014C	2130	1834.99	1436	13.0925
YAR015W	921	633.637	561	14.8124
YAR018C	1308	1030.15	351	5.70047
YAR019C	2925	2656.71	1849.85	11.6492
YAR019W-A	333	92.6077	11.1474	2.01386
YAR020C	168	27.6153	2.04675	1.23999
YAR023C	540	259.412	200	12.8986
YAR027W	708	425.894	1133	44.5073
YAR028W	705	421.868	0	0
YAR029W	225	42.8335	0	0
