target_id	length	eff_length	est_counts	tpm
YAL069W	315	78.5827	54.5781	13.9329
YAL068W-A	255	50.6466	7.17583	2.84232
YAL068C	363	108.083	0	0
YAL067W-A	228	41.507	8.54514	4.12999
YAL067C	1782	1491.85	0	0
YAL066W	309	75.3949	0	0
YAL065C	387	124.719	0	0
YAL064W-B	381	120.429	0	0
YAL064C-A	381	120.429	2	0.333158
YAL064W	285	63.0046	15	4.77606
YAL063C-A	291	65.9982	16	4.86339
YAL063C	3969	3657.5	127.165	0.697483
YAL062W	1374	1072.42	1686	31.5386
YAL061W	1254	953.473	2669	56.1554
YAL060W	1149	850.481	4913	115.887
YAL059C-A	423	151.438	88.5168	11.7258
YAL059W	639	347.841	1086.48	62.6605
YAL058W	1509	1204.93	745.668	12.4147
YAL056C-A	351	100.276	45.332	9.06896
YAL056W	2643	2363.65	2576	21.8632
YAL055W	543	256.049	774	60.6413
YAL054C	2142	1838.12	6003	65.5157
YAL053W	2352	2065.07	13557	131.698
YAL051W	3144	2875.06	1800	12.5596
YAL049C	741	447.078	2531	113.569
YAL048C	1989	1700.08	1255.41	14.8139
YAL047W-A	330	87.0287	14.5903	3.36321
YAL047C	1869	1586.16	950	12.0151
YAL046C	357	104.236	357	68.7068
YAL045C	309	75.3949	83.7137	22.2744
YAL044W-A	333	88.8155	200.286	45.2391
YAL044C	513	228.228	726	63.8145
YAL043C	2358	2057.39	4960	48.3632
YAL042C-A	378	118.46	243.227	41.19
YAL042W	1248	942.63	3641.77	77.5038
YAL041W	2565	2288.82	2671	23.4107
YAL040C	1743	1449.23	863	11.9461
YAL039C	810	505.537	2479	98.3727
YAL038W	1503	1194.46	56080.1	941.865
YAL037C-B	975	672.16	6567.9	196.022
YAL037C-A	93	33.127	9	5.45019
YAL037W	804	515.513	339	13.192
YAL036C	1110	811.174	908	22.4555
YAL035W	3009	2720.01	3117	22.9888
YAL034C-B	354	102.252	3	0.588574
YAL034W-A	870	583.05	188	6.4685
YAL034C	1242	943.976	6880	146.21
YAL033W	522	236.427	195	16.5459
YAL032C	1140	841.564	1373	32.7291
YAL031W-A	309	75.3949	58.7718	15.6379
YAL031C	2283	1997.78	2061.23	20.6981
YAL030W	354	102.252	948	185.989
YAL029C	4416	4161.08	1642	7.91622
YAL028W	1587	1295.75	1631	25.2513
YAL027W	786	495.799	248	10.0345
YAL026C-A	438	163.191	13.8695	1.70496
YAL026C	4068	3813.65	716.131	3.76706
YAL025C	921	630.356	364	11.5842
YAL024C	4308	4062.9	97	0.478947
YAL023C	2280	1993.27	4095	41.2134
YAL022C	1554	1262.87	486	7.72021
YAL021C	2514	2217.71	843	7.62558
YAL020C	1002	697.54	273.591	7.86834
YAL019W-A	570	281.84	53.4092	3.80159
YAL019W	3396	3122.32	515	3.30888
