target_id	length	eff_length	est_counts	tpm
YAL069W	315	81.8338	93.1453	20.6837
YAL068W-A	255	52.5471	3.66913	1.26886
YAL068C	363	111.821	0	0
YAL067W-A	228	43.2833	34.3781	14.4332
YAL067C	1782	1500.26	0	0
YAL066W	309	78.642	0	0
YAL065C	387	128.863	0	0
YAL064W-B	381	124.486	0	0
YAL064C-A	381	124.486	0	0
YAL064W	285	66.4807	7	1.91338
YAL063C-A	291	69.4741	14	3.66188
YAL063C	3969	3681.69	100.373	0.495412
YAL062W	1374	1075.1	2192	37.0502
YAL061W	1254	961.288	2730	51.607
YAL060W	1149	859.784	3727	78.7716
YAL059C-A	423	156.747	84.986	9.85251
YAL059W	639	354.81	1327.01	67.964
YAL058W	1509	1219.64	674.843	10.0548
YAL056C-A	351	104.144	53.1573	9.2753
YAL056W	2643	2373.15	1856	14.2119
YAL055W	543	263.762	928	63.9344
YAL054C	2142	1846.72	12586	123.847
YAL053W	2352	2078.08	17841	156.011
YAL051W	3144	2885.3	1468	9.24559
YAL049C	741	456.059	2639	105.152
YAL048C	1989	1711.66	1476.59	15.6763
YAL047W-A	330	90.8959	10.4059	2.08034
YAL047C	1869	1598.68	1091	12.4012
YAL046C	357	108.005	590	99.2672
YAL045C	309	78.642	87.7767	20.2826
YAL044W-A	333	92.5092	328.223	64.4739
YAL044C	513	235.512	1535	118.439
YAL043C	2358	2065.11	4705	41.4015
YAL042C-A	378	122.602	182.858	27.1028
YAL042W	1248	951.905	3783.14	72.2201
YAL041W	2565	2299.13	2246	17.7519
YAL040C	1743	1459.04	510	6.35189
YAL039C	810	512.414	2520	89.3674
YAL038W	1503	1205.26	17292.9	260.727
YAL037C-B	975	680.864	2828.15	75.4815
YAL037C-A	93	37.2157	9	4.39456
YAL037W	804	526.752	174	6.00264
YAL036C	1110	821.441	914	20.2194
YAL035W	3009	2733.38	3344	22.2313
YAL034C-B	354	106.144	24	4.10882
YAL034W-A	870	594.963	197	6.01693
YAL034C	1242	955.321	6780	128.967
YAL033W	522	243.832	249	18.557
YAL032C	1140	846.089	1196	25.687
YAL031W-A	309	78.642	70.6127	16.3165
YAL031C	2283	2001.97	1685.39	15.2982
YAL030W	354	106.144	1023	175.138
YAL029C	4416	4174.02	1246	5.42455
YAL028W	1587	1300.47	981	13.7078
YAL027W	786	503.673	245	8.83927
YAL026C-A	438	168.507	14	1.50976
YAL026C	4068	3817.76	632	3.00821
YAL025C	921	640.219	547	15.5259
YAL024C	4308	4077.38	101	0.450132
YAL023C	2280	2003.55	2108	19.1192
YAL022C	1554	1273.86	238	3.39512
YAL021C	2514	2220.34	727	5.94997
YAL020C	1002	705.196	302.622	7.79811
YAL019W-A	570	284.527	40.3783	2.57884
YAL019W	3396	3130.65	495	2.87323
YAL018C	978	700.982	209	5.41799
YAL017W	4071	3815.21	2728	12.9935
YAL016C-B	186	32.8255	4	2.21436
YAL016C-A	315	81.8338	125.175	27.7961
YAL016W	1908	1644.13	2906.83	32.1279
YAL015C	1200	909.534	2357	47.0912
YAL014C	768	481.112	1674	63.2278
YAL013W	1218	916.206	4270	84.6904
YAL012W	1185	890.687	12399	252.965
YAL011W	1878	1606.31	1482	16.7656
YAL010C	1482	1210.02	762	11.4436
YAL009W	780	502.293	701	25.3606
YAL008W	597	313.135	1371	79.5618
YAL007C	648	366.116	1464	72.6644
YAL005C	1929	1631.19	38488.8	428.774
YAL004W	648	366.425	0	0
YAL003W	621	328.604	2591	143.283
YAL002W	3825	3597.95	754	3.80816
YAL001C	3483	3234.04	2788	15.6656
YAR002W	1620	1344.28	2060	27.8468
YAR002C-A	660	376.966	948	45.6988
YAR003W	1281	1006.35	852	15.3847
YAR007C	1866	1582.27	3081	35.3842
YAR008W	828	546.469	730	24.2749
YAR009C	3591	3340.52	1.93521	0.0105272
YAR010C	1323	1041.26	0	0
YAR014C	2130	1844.52	1069	10.5316
YAR015W	921	636.996	777	22.1658
YAR018C	1308	1030.01	322	5.68088
YAR019C	2925	2660.87	1100	7.51221
YAR019W-A	333	92.5092	41	8.05375
YAR020C	168	30.5664	1	0.594504
YAR023C	540	260.894	277	19.2937
YAR027W	708	423.621	890	38.1779
YAR028W	705	423.31	0	0
YAR029W	225	42.3344	0	0
YAR030C	342	98.5021	0	0
YAR031W	897	613.721	535	15.841
YAR033W	705	423.31	0	0
YAR035W	2064	1731.85	210	2.20348
YAR035C-A	81	31.881	0	0
YAR042W	3567	3259.82	780	4.3481
YAR047C	321	85.5207	0	0
YAR050W	4614	4328.69	181.099	0.760252
YAR053W	297	72.6025	11	2.75322
YAR060C	336	94.4887	1.5	0.288477
YAR061W	1006	725.55	9.66337	0.242025
YAR064W	300	74.0164	0	0
YAR066W	612	330.777	0	0
YAR068W	486	210.769	152	13.105
YAR069C	294	71.0805	5.5	1.40608
YAR070C	300	74.0164	0	0
YAR071W	1404	1118.14	544.844	8.85473
YAR073W	1212	923.122	11.0573	0.217665
YAR075W	474	200.206	0	0
YBL113C	2379	2111.85	399.839	3.44049
YBL113W-A	483	208.305	123.25	10.7519
YBL112C	318	83.8398	6.00757	1.30211
YBL111C	2004	1719.83	121.852	1.2875
YBL109W	336	94.4887	373.102	71.7542
YBL108C-A	129	30.066	0	0
YBL108W	306	76.8109	6	1.41947
YBL107W-A	105	32.7683	113.293	62.8272
YBL107C	591	316.512	656	37.6629
YBL106C	3033	2760.39	590	3.88401
YBL105C	3456	3177.23	1901	10.8726
