target_id	length	eff_length	est_counts	tpm
YAL069W	315	80.942	23.2286	5.254
YAL068W-A	255	52.3933	0	0
YAL068C	363	112.024	0	0
YAL067W-A	228	42.368	6	2.59271
YAL067C	1782	1501.14	0	0
YAL066W	309	77.8391	0	0
YAL065C	387	129.137	0	0
YAL064W-B	381	124.711	0	0
YAL064C-A	381	124.711	1	0.146803
YAL064W	285	65.5714	9	2.51286
YAL063C-A	291	68.4005	8	2.14127
YAL063C	3969	3692.89	78.2211	0.387791
YAL062W	1374	1082.76	1260	21.3048
YAL061W	1254	965.185	2956	56.0705
YAL060W	1149	857.725	5537	118.186
YAL059C-A	423	157.504	65.3563	7.59689
YAL059W	639	353.808	959.644	49.6572
YAL058W	1509	1217.69	822.707	12.3694
YAL056C-A	351	103.701	55.293	9.76175
YAL056W	2643	2370.55	2627	20.2885
YAL055W	543	264.734	856	59.1977
YAL054C	2142	1856.78	13269	130.833
YAL053W	2352	2073.69	20462	180.652
YAL051W	3144	2880.52	1641	10.4299
YAL049C	741	456.079	3679	147.683
YAL048C	1989	1710.48	1823.55	19.5182
YAL047W-A	330	90.4633	35.4508	7.17453
YAL047C	1869	1589.71	1275	14.6836
YAL046C	357	107.752	525	89.2022
YAL045C	309	77.8391	76.2803	17.9414
YAL044W-A	333	92.5571	332.72	65.8126
YAL044C	513	236.546	739	57.1965
YAL043C	2358	2071.63	4570	40.3873
YAL042C-A	378	122.694	234.206	34.9473
YAL042W	1248	958.615	3236.79	61.8175
YAL041W	2565	2292.87	2976	23.7626
YAL040C	1743	1462.05	675	8.45242
YAL039C	810	518.147	2361	83.4225
YAL038W	1503	1208.75	44855.8	679.396
YAL037C-B	975	684.038	3597.21	96.2777
YAL037C-A	93	34.9302	4	2.09652
YAL037W	804	522.745	171	5.98889
YAL036C	1110	824.085	856	19.017
YAL035W	3009	2728.09	2923	19.616
YAL034C-B	354	105.718	12	2.07812
YAL034W-A	870	592.58	236	7.29131
YAL034C	1242	956.983	9721	185.972
YAL033W	522	244.959	185	13.8267
YAL032C	1140	851.325	1738	37.3762
YAL031W-A	309	77.8391	85.4788	20.1048
YAL031C	2283	2006.38	2910.52	26.5581
YAL030W	354	105.718	1171	202.79
YAL029C	4416	4167	1584	6.9594
YAL028W	1587	1307.48	1251	17.5172
YAL027W	786	502.628	284	10.3446
YAL026C-A	438	169.97	11	1.18485
YAL026C	4068	3813.75	961	4.6133
YAL025C	921	640.182	465	13.2981
YAL024C	4308	4059.89	165	0.744063
YAL023C	2280	2009	4271	38.9216
YAL022C	1554	1280.13	458	6.55013
YAL021C	2514	2230.42	1011	8.2986
YAL020C	1002	711.246	373.517	9.61461
YAL019W-A	570	287.339	52.4826	3.34396
YAL019W	3396	3133.15	828	4.83826
YAL018C	978	700.038	171	4.47214
YAL017W	4071	3801.07	4401	21.1976
YAL016C-B	186	30.8566	2	1.18665
YAL016C-A	315	80.942	158.944	35.9509
YAL016W	1908	1635.94	4427.06	49.5435
YAL015C	1200	914.26	2168	43.414
YAL014C	768	481.767	1607	61.0687
YAL013W	1218	931.556	3932	77.276
YAL012W	1185	897.127	8592	175.34
YAL011W	1878	1599.88	1713	19.6024
YAL010C	1482	1206.09	903	13.7072
YAL009W	780	504.026	728	26.4435
YAL008W	597	312.213	1350	79.1631
YAL007C	648	368.034	1519	75.5632
YAL005C	1929	1638.01	38858.4	434.318
YAL004W	648	367.537	0	0
YAL003W	621	330.461	2415	133.794
YAL002W	3825	3584.07	1022	5.22054
YAL001C	3483	3226.05	2494	14.1536
YAR002W	1620	1344.29	1570	21.382
YAR002C-A	660	378.317	970	46.9414
YAR003W	1281	998.387	998	18.3009
YAR007C	1866	1582.51	2480	28.6911
YAR008W	828	548.035	590	19.7099
YAR009C	3591	3329.18	5.70053	0.0313486
YAR010C	1323	1042.14	0	0
YAR014C	2130	1844.96	1146	11.372
YAR015W	921	636.071	696	20.0329
YAR018C	1308	1027.68	333	5.93232
YAR019C	2925	2660.03	1893	13.0288
YAR019W-A	333	92.5571	53	10.4835
YAR020C	168	29.1405	2	1.25653
YAR023C	540	261.813	209	14.6149
YAR027W	708	426.878	1074	46.0618
YAR028W	705	424.188	0	0
YAR029W	225	41.4072	0	0
YAR030C	342	98.2414	0	0
YAR031W	897	610.451	425	12.7461
YAR033W	705	424.188	0	0
YAR035W	2064	1750.59	288	3.01196
YAR035C-A	81	35.1333	0	0
YAR042W	3567	3268.91	1101	6.1663
YAR047C	321	84.5213	0	0
YAR050W	4614	4339.44	239.956	1.01237
YAR053W	297	71.586	10	2.55748
YAR060C	336	94.5172	7	1.3559
YAR061W	1006	726.257	9.65844	0.243476
YAR064W	300	73.025	0	0
YAR066W	612	331.853	0	0
YAR068W	486	211.46	186.079	16.1106
YAR069C	294	69.9284	4	1.04724
YAR070C	300	73.025	0	0
YAR071W	1404	1118.83	536.036	8.7714
YAR073W	1212	927.254	4.01616	0.0792963
YAR075W	474	200.79	0	0
YBL113C	2379	2112.14	429.137	3.71976
YBL113W-A	483	208.804	183.294	16.0713
YBL112C	318	82.8356	3.49756	0.773015
YBL111C	2004	1724.04	87.2417	0.926438
YBL109W	336	94.5172	283.173	54.8506
YBL108C-A	129	27.8182	0	0
YBL108W	306	76.2849	36	8.63982
YBL107W-A	105	31.4493	82.359	47.9447
YBL107C	591	315.537	699	40.5571
YBL106C	3033	2759.5	598	3.96745
YBL105C	3456	3180.26	3062	17.6272
YBL104C	3117	2847.97	1687	10.8448
YBL103C	1461	1178.17	4134	64.2393
YBL102W	648	360.638	1232	62.5431
YBL101C	3354	3061.09	7536	45.0718
YBL100W-C	120	30.2137	72	43.6284
YBL100W-A	1317	1040.58	7.05063	0.124048
YBL100W-B	5313	5070.09	940.306	3.39543
YBL100C	315	80.942	3394.62	767.817
YBL099W	1638	1334.35	20028.4	274.799
YBL098W	1383	1102.06	1928	32.029
YBL097W	2265	1992.21	1055	9.69521
YBL096C	309	77.8391	68.5248	16.1172
YBL095W	813	524.798	1184.85	41.3343
YBL094C	333	92.5571	213.629	42.2562
YBL093C	663	378.388	4416	213.665
YBL092W	393	133.831	2637	360.739
YBL091C-A	528	250.483	1729	126.374
YBL091C	1266	983.843	2666	49.6106
YBL090W	534	256.1	1062	75.9199
YBL089W	1380	1106	1217	20.1454
YBL088C	8364	8164.45	1687	3.78293
YBL087C	414	150.331	793.955	96.6915
YBL086C	1401	1114.38	6772	111.256
YBL085W	2943	2661.36	3077	21.1672
YBL084C	2277	2013.56	3492.18	31.7521
YBL083C	426	159.789	75.6078	8.66282
YBL082C	1377	1096.27	1246.39	20.815
YBL081W	1107	817.136	861.499	19.3019
YBL080C	1626	1342.87	2744	37.4103
YBL079W	4509	4250.29	5317	22.9028
YBL078C	354	105.718	7068	1224.02
YBL077W	432	164.875	135.979	15.0993
YBL076C	3219	2938.32	5571.02	34.7117
YBL075C	1950	1664.43	17631	193.934
YBL074C	1068	788.578	1325.33	30.7693
YBL073W	312	79.2226	67.674	15.6391
YBL072C	603	316.668	4475.49	258.748
YBL071C-B	99	33.2963	120	65.982
YBL071W-A	249	50.3594	852	309.741
YBL071C	309	77.8391	336	79.0282
YBL070C	321	84.5213	126.492	27.3991
YBL069W	1290	1012.35	2389.84	43.2193
YBL068W-A	237	45.8898	46.6689	18.6188
YBL068W	981	694.904	888	23.3953
YBL067C	2244	1975.01	1811	16.7876
YBL066C	3447	3170.77	6019.51	34.7566
YBL065W	345	100.065	80.488	14.7261
YBL064C	786	499.597	23841	873.665
YBL063W	3336	3086.06	1752	10.3937
YBL062W	381	124.711	0	0
YBL061C	2091	1823.38	5028	50.4844
YBL060W	2064	1800.81	2683	27.2768
YBL059C-A	330	90.4633	1379	279.082
YBL059W	582	305.971	1121	67.0758
YBL058W	1272	978.432	16957	317.292
YBL057C	627	347.399	2999	158.048
YBL056W	1407	1133.31	11222	181.284
YBL055C	1257	981.913	2680	49.9692
