target_id	length	eff_length	est_counts	tpm
YGR099W	2067	1793	689	6.6733
YGR100W	2853	2579.22	1621	10.9143
YGR101W	1041	756.274	2355	54.0772
YGR102C	552	269.666	4423	284.835
YGR103W	1818	1553.5	10568	118.137
YGR104C	924	641.436	1976	53.4977
YGR105W	234	43.3737	1210	484.463
YGR106C	798	511.802	15448	524.17
YGR107W	450	177.148	207	20.2925
YGR108W	1416	1133.74	540	8.27146
YGR109C	1143	864.056	158	3.17554
YGR109W-A	873	586.624	79.8798	2.36472
YGR109W-B	4644	4367.05	7481.83	29.7524
YGR110W	1338	1049.81	4485	74.1915
YGR111W	1203	918.486	3215	60.7869
YGR112W	1170	881.284	2218	43.7067
YGR113W	1032	743.313	1903	44.4599
YGR114C	390	130.105	186.836	24.9384
YGR115C	780	497.254	548.433	19.1535
YGR116W	4356	4096.48	6690.73	28.3638
YGR117C	1431	1154.37	2787	41.9271
YGR118W	438	167.366	5094.15	528.575
YGR119C	1626	1329.65	6745	88.0939
YGR120C	789	507.343	3505	119.974
YGR121C	1479	1193.98	2303	33.4965
YGR121W-A	216	38.7626	158	70.7857
YGR122W	1209	931.67	2156	40.1873
YGR122C-A	129	32.5562	2.46531	1.31504
YGR123C	1542	1274.37	2117	28.8488
YGR124W	1719	1428.84	15972	194.124
YGR125W	3111	2848.28	2677	16.3218
YGR126W	693	407.232	749	31.9405
YGR127W	939	663.643	3172	83.0043
YGR128C	2142	1871.61	5451	50.5781
YGR129W	648	365.733	4635	220.083
YGR130C	2451	2186.77	25611	203.388
YGR131W	525	244.268	2783	197.855
YGR132C	864	578.855	22133	664.007
YGR133W	552	269.666	3468	223.334
YGR134W	3369	3105.67	3483	19.476
YGR135W	777	487.664	4585	163.275
YGR136W	726	439.817	4554.77	179.844
YGR137W	375	119.045	1117.23	162.979
YGR138C	1845	1553	2030.12	22.7013
YGR139W	339	95.1257	45	8.21517
YGR140W	2871	2606.89	2299	15.3151
YGR141W	1404	1122.74	3119	48.2435
YGR142W	1233	955.573	4997	90.8129
YGR143W	2316	2036.55	8084	68.9341
YGR144W	981	689.448	39475	994.312
YGR145W	2124	1849.08	8495	79.7829
YGR146C	636	348.75	4768	237.424
YGR146C-A	162	30.7099	625	353.431
YGR147C	867	585.737	5525	163.807
YGR148C	468	192.443	4064	366.735
YGR149W	1299	1026.12	4370	73.9578
YGR150C	2595	2345.8	3175	23.5047
YGR151C	336	93.1651	91.7339	17.0993
YGR152C	819	527.302	1995.27	65.7118
YGR153W	654	368.476	917	43.2177
YGR154C	1071	793.662	1552	33.9592
YGR155W	1524	1237.86	27758	389.42
YGR156W	1278	992.363	2291	40.0919
YGR157W	2610	2335.56	4422	32.8799
YGR158C	753	463.872	2467	92.3577
YGR159C	1245	954.616	7872.74	143.218
YGR160W	612	322.119	2552.26	137.598
YGR161C	792	506.816	6930	237.457
YGR161W-C	279	61.7398	3247	913.312
YGR161W-A	1317	1044.16	0	0
YGR161W-B	5313	5087.96	4106.97	14.0178
YGR161C-D	5268	5017.68	1540.48	5.33157
YGR161C-C	1323	1037.38	865.481	14.4885
YGR162W	2859	2581.06	12865	86.5593
YGR163W	1026	744.003	2291	53.4751
YGR164W	336	93.1651	213	39.7034
YGR165W	1038	752.591	5713	131.828
YGR166W	1683	1407.81	5083	62.7014
YGR167W	702	414.103	5890	247.006
YGR168C	1131	856.932	4609	93.4033
YGR169C	1215	930.724	1666	31.0854
YGR169C-A	279	61.7398	4959	1394.86
YGR170W	3417	3154.34	6353	34.9762
YGR171C	1728	1444.15	3223	38.7569
YGR172C	747	459.424	5655	213.757
YGR173W	1107	823.697	14342	302.374
YGR174C	513	232.871	3204	238.935
YGR174W-A	87	39.7303	264	115.394
YGR175C	1491	1202.87	26846	387.582
YGR176W	348	100.993	447.754	76.9928
YGR177C	1608	1334.72	3603.25	46.8819
YGR178C	2169	1871.64	9220	85.5483
YGR179C	1221	940.081	4866	89.8895
YGR180C	1038	754.585	14389	331.15
YGR181W	318	82.6116	1172	246.37
YGR182C	354	104.927	3206	530.611
YGR183C	201	35.8104	15850	7686.39
YGR184C	5853	5611.6	5730	17.7325
YGR185C	1185	898.345	5075	98.1059
YGR186W	2208	1931.54	10664	95.878
YGR187C	1185	906.432	3476	66.5957
YGR188C	3066	2803.73	1493	9.24753
YGR189C	1524	1241.49	16710	233.741
YGR190C	366	112.789	626.351	96.4394
YGR191W	1812	1523.31	3851.65	43.9098
YGR192C	999	703.987	61247.6	1510.87
YGR193C	1233	951.665	2852	52.0436
YGR194C	1803	1525.46	47504	540.793
YGR195W	741	452.07	1959	75.2541
YGR196C	2454	2173.37	5203	41.574
YGR197C	1644	1357.88	2580	32.9958
YGR198W	2454	2198.08	3930	31.0493
YGR199W	2280	2001.95	1454	12.6128
YGR200C	2367	2102.74	2324	19.1934
YGR201C	678	393.298	3526	155.691
YGR202C	1275	990.038	5910	103.666
YGR203W	447	174.787	1067	106.012
YGR204W	2841	2530.19	29094	199.688
YGR204C-A	114	35.9798	128	61.7807
YGR205W	873	583.813	1356	40.3355
YGR206W	306	75.4986	888	204.256
YGR207C	786	496.617	3865	135.154
YGR208W	930	645.328	2110	56.7811
YGR209C	315	80.8464	7926	1702.53
YGR210C	1236	949.218	4661	85.2736
YGR211W	1461	1171.26	4821	71.4804
YGR212W	1407	1129.86	269	4.13457
YGR213C	954	671.664	158	4.08514
YGR214W	759	461.771	3493	131.363
YGR215W	333	91.4911	1433	272
YGR216C	1830	1568.05	1303	14.4306
YGR217W	6120	5873.92	1136	3.35855
YGR218W	3255	3000.47	10293	59.5736
YGR219W	342	97.0144	156.547	28.0228
YGR220C	810	527.51	2814.45	92.6541
YGR221C	1869	1594.78	2506	27.2887
YGR222W	882	594.344	2346	68.5476
YGR223C	1347	1051.82	8416	138.952
YGR224W	1842	1559.72	1349	15.0199
YGR225W	1782	1497.15	1642	19.0462
YGR226C	210	37.1791	0	0
YGR227W	1578	1307.47	881	11.7016
YGR227C-A	174	30.9686	15	8.41147
YGR228W	345	99.0566	817.962	143.401
YGR229C	1518	1233.22	9530.04	134.201
YGR230W	414	148.189	1036	121.408
YGR231C	933	647.38	13361	358.411
YGR232W	687	402.169	5389	232.703
YGR233C	3537	3287.74	2722	14.3778
YGR234W	1200	918.135	36594	692.158
YGR235C	702	414.651	5197	217.657
YGR236C	288	66.0363	2464	647.978
YGR237C	2358	2087.53	2657	22.1034
YGR238C	2649	2387.48	2074	15.0859
YGR239C	867	571.91	853	25.9014
YGR240C	2964	2673.79	23103	150.053
YGR240C-A	201	35.8104	191	92.6246
YGR241C	1707	1427.89	22144.1	269.317
YGR242W	309	77.2207	1894.93	426.149
YGR243W	441	169.9	66988	6847.07
YGR244C	1284	1001.41	9091	157.652
YGR245C	2304	2040.19	2231	18.9903
YGR246C	1791	1523.03	1350	15.3931
YGR247W	720	438.048	375	14.8666
YGR248W	768	473.998	1387	50.8162
YGR249W	1371	1087.23	428	6.83633
YGR250C	2346	2071.73	5515	46.229
YGR251W	591	305.03	1255	71.4501
YGR252W	1320	1041.65	4862	81.0579
YGR253C	783	497.537	6527	227.819
YGR254W	1314	1004.4	61540.9	1064.04
YGR255C	1440	1157.39	6006	90.1174
YGR256W	1479	1193.58	9298	135.282
YGR257C	1101	817.448	1473	31.2928
YGR258C	3096	2826.87	2746	16.8693
YGR259C	441	169.9	558.254	57.061
YGR260W	1605	1326.9	4505.75	58.9697
YGR261C	2430	2171.14	1013	8.10258
YGR262C	786	500.937	871	30.1951
YGR263C	1275	992.93	618	10.8087
YGR264C	2256	1982.25	7387.03	64.7164
YGR265W	411	145.884	1184.97	141.059
YGR266W	2106	1837.15	6150	58.1344
YGR267C	732	450.629	3494	134.65
YGR268C	597	308.42	3929	221.228
YGR269W	327	87.9696	480	94.7568
YGR270W	4140	3889.52	7355.89	32.8429
YGR270C-A	219	39.0722	15.1063	6.71414
YGR271W	5904	5663.4	704	2.15872
YGR271C-A	702	422.221	319	13.1206
YGR273C	525	244.268	53	3.768
YGR274C	3201	2940.92	2331	13.7645
YGR275W	474	197.615	669	58.7908
YGR276C	1662	1388.77	1432	17.9066
YGR277C	918	627.624	1253	34.67
YGR278W	1734	1466.54	635	7.51939
YGR279C	1161	865.66	18210	365.312
YGR280C	816	529.08	1820	59.7382
YGR281W	4434	4191.94	2268	9.39572
YGR282C	942	647.009	112546	3020.8
YGR283C	1026	745.387	5954	138.717
YGR284C	933	643.846	7386	199.218
YGR285C	1302	1010.7	11093	190.603
YGR286C	1128	841.855	5165	106.545
YGR287C	1770	1477.86	819.024	9.62421
YGR288W	1422	1143.14	13	0.19749
YGR289C	1851	1566.33	0	0
YGR290W	444	172.347	0	0
YGR291C	222	39.7783	6.6	2.88137
YGR292W	1755	1470.01	669.924	7.91419
YGR293C	462	187.162	6.87561	0.637961
YGR294W	363	110.864	34.195	5.35641
YGR295C	1146	865.055	394.947	7.92862
YGR296W	5580	5296.32	2083.03	6.83005
YGR296C-A	576	292.895	0	0
YGR296C-B	483	205.586	0	0
