;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
YLR428C;28.8522399;1.466233474;0.439561759;3.335671138;0.000850938;0.001616633
YLL066W-B;21.63311097;2.726118823;0.837986962;3.253175702;0.001141229;0.002120722
YBL005W-A;314.930647;1.4446438;0.452099338;3.19541233;0.001396312;0.002551262
YDR316W-B;291.7354659;2.099600209;0.707294348;2.968495669;0.002992613;0.005207176
YER138C;239.2237325;1.314367418;0.454530148;2.891705695;0.003831567;0.006562812
YDR261W-B;6.161388135;2.700689815;0.946272239;2.854030482;0.004316839;0.007347835
YCL065W;3.483012861;4.420483883;1.689739422;2.616074304;0.00889472;0.014434066
YKR032W;8.538712807;1.628573776;0.664512386;2.450780167;0.014254698;0.022506875
YOL103W-A;10.31811269;1.701648079;0.716798121;2.373957225;0.017598589;0.027299092
YKR106W;7.139006229;1.761390149;0.792432572;2.222763439;0.026231756;0.039410879
