target_id	length	eff_length	est_counts	tpm
YAL069W	315	80.0147	24.4577	5.19471
YAL068W-A	255	52.1212	0	0
YAL068C	363	110.227	1.01966	0.157211
YAL067W-A	228	42.8697	8.39692	3.32878
YAL067C	1782	1493.84	0	0
YAL066W	309	76.6157	0	0
YAL065C	387	127.022	0	0
YAL064W-B	381	122.751	0	0
YAL064C-A	381	122.751	0	0
YAL064W	285	65.054	17	4.4411
YAL063C-A	291	67.5689	23	5.78491
YAL063C	3969	3684.79	166.374	0.76734
YAL062W	1374	1072.56	1374	21.7712
YAL061W	1254	962.631	3769	66.5399
YAL060W	1149	857.031	7747	153.622
YAL059C-A	423	153.661	43.6728	4.83019
YAL059W	639	347.854	869.327	42.4719
YAL058W	1509	1209.74	880.266	12.3662
YAL056C-A	351	102.189	50.7338	8.43738
YAL056W	2643	2362.39	3118	22.4306
YAL055W	543	257.522	827	54.5766
YAL054C	2142	1848.54	6556	60.2734
YAL053W	2352	2066.72	15861	130.426
YAL051W	3144	2873.3	2127	12.5806
YAL049C	741	451.586	3594	135.255
YAL048C	1989	1703.23	1610.84	16.0729
YAL047W-A	330	88.736	6.16302	1.18035
YAL047C	1869	1587.35	1056	11.3059
YAL046C	357	106.045	412	66.0272
YAL045C	309	76.6157	43.7337	9.70096
YAL044W-A	333	90.4442	313.266	58.8638
YAL044C	513	229.913	642	47.4556
YAL043C	2358	2069.54	5242	43.0466
YAL042C-A	378	120.548	200.264	28.2331
YAL042W	1248	947.469	4048.74	72.6223
YAL041W	2565	2292.43	2733	20.2609
YAL040C	1743	1449.89	1192	13.9719
YAL039C	810	504.446	2501	84.2587
YAL038W	1503	1201.75	105190	1487.56
YAL037C-B	975	674.591	9129.43	229.995
YAL037C-A	93	41.575	3	1.22632
YAL037W	804	515.466	421	13.8803
YAL036C	1110	814.791	844	17.604
YAL035W	3009	2728.8	2905	18.0922
YAL034C-B	354	104.248	16	2.60835
YAL034W-A	870	585.145	151	4.3856
YAL034C	1242	945.973	7554	135.711
YAL033W	522	237.905	154	11.001
YAL032C	1140	846.137	1412	28.3602
YAL031W-A	309	76.6157	98.5621	21.8629
YAL031C	2283	2002.04	2811.44	23.8655
YAL030W	354	104.248	1230	200.517
YAL029C	4416	4168.82	1757	7.16266
YAL028W	1587	1295.95	1857	24.3523
YAL027W	786	494.962	315	10.8157
YAL026C-A	438	165.605	18.3326	1.88133
YAL026C	4068	3815.36	847.667	3.77577
YAL025C	921	632.108	350	9.41006
YAL024C	4308	4070.63	158	0.659646
YAL023C	2280	1999.68	5921	50.3211
YAL022C	1554	1266.52	594	7.97059
YAL021C	2514	2227.65	1125	8.58264
YAL020C	1002	702.985	386.482	9.34327
YAL019W-A	570	283.491	43.5175	2.6088
YAL019W	3396	3132.91	658	3.56938
YAL018C	978	692.811	87	2.13413
YAL017W	4071	3790.18	4442	19.9175
YAL016C-B	186	32.5288	1	0.522453
YAL016C-A	315	80.0147	181.588	38.5686
YAL016W	1908	1630.73	5570.41	58.0526
YAL015C	1200	906.756	2037	38.1782
YAL014C	768	473.253	1609	57.7801
YAL013W	1218	920.371	4139	76.4272
YAL012W	1185	889.115	8166	156.087
YAL011W	1878	1599.64	1774	18.8472
YAL010C	1482	1201.6	943	13.3373
YAL009W	780	493.183	656	22.6054
YAL008W	597	307.998	1546	85.3057
YAL007C	648	359.626	1521	71.8776
YAL005C	1929	1624.94	45398.7	474.813
YAL004W	648	360.207	0	0
YAL003W	621	325.462	3700	193.205
YAL002W	3825	3589.53	1307	6.18804
YAL001C	3483	3223.38	2632	13.8768
YAR002W	1620	1342.34	1540	19.4972
YAR002C-A	660	373.332	1222	55.6278
YAR003W	1281	993.558	1156	19.7734
YAR007C	1866	1576.04	2407	25.9553
YAR008W	828	539.839	411	12.9388
YAR009C	3591	3322.23	3.93671	0.0201382
YAR010C	1323	1034.93	0	0
YAR014C	2130	1831.9	1254	11.6335
YAR015W	921	633.165	644	17.2856
YAR018C	1308	1021.01	392	6.52489
YAR019C	2925	2652.07	1741	11.1565
YAR019W-A	333	90.4442	20	3.75807
YAR020C	168	29.6628	0	0
YAR023C	540	254.702	278	18.5493
YAR027W	708	418.078	1169	47.5196
YAR028W	705	416.936	0	0
YAR029W	225	42.0872	0	0
YAR030C	342	96.3285	0	0
YAR031W	897	605.633	428	12.0102
YAR033W	705	416.936	0	0
YAR035W	2064	1734.36	351	3.43941
YAR035C-A	81	38.5781	1	0.440529
YAR042W	3567	3259.78	1742	9.08188
YAR047C	321	83.3059	0	0
YAR050W	4614	4327.16	309.287	1.21472
YAR053W	297	70.4311	18	4.34334
YAR060C	336	92.3183	8.5	1.56476
YAR061W	1006	713.145	30.7728	0.733339
YAR064W	300	72.0717	0	0
YAR066W	612	316.306	7.01218	0.376757
YAR068W	486	206.176	166.065	13.6885
YAR069C	294	68.9749	4.5	1.10876
YAR070C	300	72.0717	0	0
YAR071W	1404	1108.08	698.194	10.7083
YAR073W	1212	920.404	6.02249	0.111202
YAR075W	474	195.785	0	0
YBL113C	2379	2078.7	668.484	5.46531
YBL113W-A	483	203.473	191.019	15.9546
YBL112C	318	81.6738	4.22967	0.880114
YBL111C	2004	1719.6	204.518	2.02124
YBL109W	336	92.3183	321.415	59.169
YBL108C-A	129	28.15	0	0
YBL108W	306	75.0881	56	12.6745
YBL107W-A	105	35.3154	94.196	45.3298
YBL107C	591	309.589	882	48.4171
YBL106C	3033	2754.09	610	3.76416
YBL105C	3456	3171.16	4190	22.4549
YBL104C	3117	2835.59	1497	8.97209
YBL103C	1461	1169.55	2455	35.6738
YBL102W	648	355.543	1317	62.952
YBL101C	3354	3055.71	6503	36.1674
YBL100W-C	120	30.0813	67	37.8524
YBL100W-A	1317	1033.02	14.3861	0.236673
YBL100W-B	5313	5065.15	1113.47	3.73597
YBL100C	315	80.0147	4228.49	898.114
YBL099W	1638	1328.02	24763.5	316.9
YBL098W	1383	1094.81	1937	30.0681
YBL097W	2265	1989.25	1073	9.16695
YBL096C	309	76.6157	39.1359	8.68108
YBL095W	813	517.521	1421.62	46.6844
YBL094C	333	90.4442	233.243	43.8271
YBL093C	663	369.621	4482	206.078
YBL092W	393	131.437	3125	404.063
YBL091C-A	528	243.381	2036	142.169
YBL091C	1266	971.72	3887	67.9812
YBL090W	534	249.033	1225	83.5977
YBL089W	1380	1101.29	1260	19.4439
YBL088C	8364	8177.36	2460	5.11255
YBL087C	414	146.753	1295	149.968
YBL086C	1401	1108.34	7085	108.638
YBL085W	2943	2655.01	3272	20.9442
YBL084C	2277	2007.62	2670.08	22.6026
YBL083C	426	156.077	82.7827	9.01396
YBL082C	1377	1088.17	1301.22	20.322
YBL081W	1107	808.468	835	17.5525
YBL080C	1626	1331.06	2309	29.4811
YBL079W	4509	4249.84	5307	21.2223
YBL078C	354	104.248	4653	758.542
YBL077W	432	160.721	104.882	11.0903
YBL076C	3219	2931.25	5049.12	29.2737
YBL075C	1950	1657.94	14174	145.291
YBL074C	1068	780.619	1336	29.0859
