cluster
5
6
0
2
2
0
7
0
5
8
8
0
5
2
7
4
3
3
5
6
5
2
3
1
0
8
1
0
2
4
8
8
7
7
0
8
5
0
8
3
1
0
6
2
0
2
1
1
6
9
0
7
2
0
5
1
0
9
9
8
7
8
0
1
5
4
8
8
0
8
9
0
2
8
3
4
8
5
3
0
9
2
1
3
8
2
9
3
3
7
9
9
0
3
3
5
1
9
0
3
8
0
5
9
1
5
3
0
1
3
3
0
8
7
7
5
2
0
2
1
8
7
1
9
9
5
0
0
9
9
8
8
3
2
9
8
6
8
0
3
4
3
