"","x"
"1","AAK88998.2"
"2","AAK89071.1"
"3","AAK89064.2"
"4","AAK88997.2"
"5","AAK89070.2"
"6","AAK89065.2"
"7","AAK89067.1"
"8","AAK89068.1"
"9","AAK88996.1"
"10","AAL43338.1"
"11","AAK89066.1"
"12","AAK89069.1"
"13","AAK86409.1"
"14","AAK89062.2"
"15","AAK89063.1"
"16","AAK87316.1"
"17","AAK87546.1"
"18","AAK88894.2"
